               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.012689,           0.0028749,           0.0026838,             0.97347,             0.99083,             0.98949,              0.7661,            0.003891,          0.00099583,          0.00041184,           0.0020847,           0.0020847,           0.0020847
                 132,            0.013506,           0.0029174,           0.0024022,             0.97816,             0.99181,             0.98982,             0.77561,           0.0039405,          0.00098891,          0.00037751,           0.0020703,           0.0020703,           0.0020703
                 133,            0.012855,           0.0028696,           0.0020433,             0.97854,             0.99144,             0.99026,              0.7819,            0.003703,          0.00097556,          0.00039836,           0.0020558,           0.0020558,           0.0020558
                 134,            0.012781,           0.0027507,           0.0020091,             0.97359,             0.99743,             0.99055,             0.79291,           0.0035913,          0.00096914,          0.00040911,           0.0020413,           0.0020413,           0.0020413
                 135,              0.0132,           0.0028822,           0.0021803,             0.97597,             0.98966,             0.99095,             0.78475,           0.0037192,          0.00098003,          0.00039208,           0.0020268,           0.0020268,           0.0020268
                 136,            0.012615,           0.0027449,           0.0022557,             0.97436,             0.99458,             0.99108,             0.77971,           0.0037942,          0.00097545,          0.00039517,           0.0020123,           0.0020123,           0.0020123
                 137,            0.012799,            0.002737,            0.002038,             0.97149,             0.99597,             0.98948,             0.79228,           0.0036306,          0.00097126,          0.00039262,           0.0019977,           0.0019977,           0.0019977
                 138,            0.012804,           0.0026842,           0.0020656,             0.96882,             0.99733,             0.98828,             0.79271,           0.0035418,          0.00097175,          0.00037681,           0.0019831,           0.0019831,           0.0019831
                 139,            0.012743,           0.0027144,            0.002039,             0.97162,             0.99785,             0.99007,              0.7912,           0.0035226,           0.0009724,          0.00036631,           0.0019685,           0.0019685,           0.0019685
                 140,            0.013068,           0.0027763,           0.0019441,             0.97106,             0.99706,             0.99054,             0.78461,           0.0036704,          0.00097171,          0.00038107,           0.0019538,           0.0019538,           0.0019538
                 141,            0.012835,           0.0029675,           0.0018312,              0.9777,             0.99198,             0.98973,             0.79371,           0.0036004,          0.00095841,          0.00036801,           0.0019392,           0.0019392,           0.0019392
